"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"1","Africa","Y1990",602075.7848,460225.5373,138650.7966,3199.4509,0,107165.3273,107023.9369,6.6945,134.6958,0,102367.4093,62695.3668,32259.3463,7412.6962,0,54363.7531,39595.4229,88.9109,8958.1628,5721.2566,77038.2295,0,69795.4247,7242.8048,0,34644.0549,0,NA,34644.0549,0,569252.9048,0,293975.591,275277.3138,0,1877154.567,1662078.451,176316.6777,38759.4387,0,-33893.0271,-33893.0271,0,0,0,811608.5214,629944.8411,170916.8374,10746.8429,0,1843262,1628185,176317,38759,0,2297725.6878,711093.4417,375628.6179,5721.2566
"383","Africa","Y1991",610116.2944,462863.3817,144033.3672,3219.5455,0,110440.1644,110310.1595,6.6436,123.3612,0,106754.5746,65215.1945,33792.7702,7746.61,0,55673.5832,41314.1883,83.6597,8911.558,5364.1772,79536.7817,0,72108.8421,7427.9396,0,25348.7996,0,NA,25348.7996,0,571132.4325,0,294993.9127,276138.5198,0,1877166.96,1662090.844,176316.6777,38759.4387,0,-33905.4204,-33905.4204,0,0,0,827311.0333,638388.7358,177832.781,11089.5166,0,1843262,1628185,176317,38759,0,2307888.3476,721335.8732,367675.7724,5364.1772
"764","Africa","Y1992",634064.1931,481372.0038,149392.0225,3300.1668,0,116649.1743,116504.6535,6.6624,137.8584,0,110670.153,66965.4996,35604.53,8100.1234,0,58085.3669,41246.4075,79.3283,11590.1072,5169.524,82016.0752,0,74406.6013,7609.4739,0,41186.7691,0,NA,41186.7691,0,578389.2402,0,299747.2934,278641.9468,0,1877172.732,1662096.615,176316.6777,38759.4387,0,-33911.1918,-33911.1918,0,0,0,861383.5204,664842.1569,185003.215,11538.1486,0,1843262,1628185,176317,38759,0,2334273.9876,735553.1156,389325.8843,5169.524
"1145","Africa","Y1993",629766.2899,473999.2566,152423.1466,3343.8867,0,116310.3476,116157.7762,6.5605,146.011,0,118430.4532,72012.8276,37756.332,8661.2936,0,57605.7685,40958.5244,83.465,11657.6517,4906.1274,84801.4759,0,76957.4898,7843.9861,0,23963.4136,0,NA,23963.4136,0,578990.5336,0,299072.76,279917.7737,0,1875595.348,1660519.232,176316.6777,38759.4387,0,-32333.8082,-32333.8082,0,0,0,864507.0908,662169.8604,190186.0391,12151.1913,0,1843262,1628185,176317,38759,0,2331313.8086,742616.4316,374293.4551,4906.1274
"1526","Africa","Y1994",620363.8634,465786.6209,150210.6541,4366.5885,0,118201.438,118042.609,6.705,152.1241,0,121597.1465,72998.8213,39687.5209,8910.8043,0,57879.107,41082.95,96.9226,12128.6457,4570.5887,87579.1809,0,79526.737,8052.4439,0,27290.7326,0,NA,27290.7326,0,586133.4285,0,303847.2297,282286.1988,0,1875568.461,1660492.344,176316.6777,38759.4387,0,-32306.9206,-32306.9206,0,0,0,860162.448,656828.0512,189904.88,13429.5168,0,1843262,1628185,176317,38759,0,2326096.4246,749692.447,381946.9766,4570.5887
"1907","Africa","Y1995",658421.9613,492819.9597,161024.2795,4577.7221,0,123963.9806,123798.8598,7.1486,157.9722,0,124641.5762,74558.0603,40877.8116,9205.7043,0,58831.5362,42480.9793,103.4274,12120.6301,4126.4995,90083.3459,0,81748.9281,8334.4179,0,30081.2298,0,NA,30081.2298,0,595586.8687,0,309119.9432,286466.9255,0,1875532.081,1660455.965,176316.6777,38759.4387,0,-32270.5411,-32270.5411,0,0,0,907027.5181,691176.8798,201909.2397,13941.3986,0,1843262,1628185,176317,38759,0,2361843.283,769198.2161,389704.0406,4126.4995
"2288","Africa","Y1996",698274.4991,520751.9066,172698.8318,4823.7607,0,127982.4363,127815.6367,7.1213,159.6784,0,124817.2413,73908.4448,41578.5086,9330.2878,0,63285.0617,47817.7447,102.2995,10360.9225,5004.095,93229.9494,0,84637.208,8592.7414,0,26204.3079,0,NA,26204.3079,0,602720.8746,0,312104.5287,290616.3459,0,1935675.591,1698076.033,193957.6229,43641.9352,0,-32223.6068,-32223.6068,0,0,0,951074.1767,722475.988,214284.4618,14313.7269,0,1903452,1665852,193958,43642,0,2436146.159,805086.1208,393729.9798,5004.095
"2669","Africa","Y1997",709902.9477,533421.9415,171599.5183,4881.4879,0,131293.8883,131117.3778,7.2028,169.3077,0,126271.6335,74883.0442,41975.7879,9412.8014,0,65739.5927,50610.7256,110.1644,10068.2847,4950.4179,95882.5383,0,87075.6579,8806.8804,0,24829.404,0,NA,24829.404,0,610309.355,0,318267.7734,292041.5816,0,1907557.431,1665340.807,195479.1494,46737.4752,0,-32164.9216,-32164.9216,0,0,0,967468.4695,739422.3634,213582.509,14463.5971,0,1875393,1633176,195479,46737,0,2423208.9745,814515.2541,396947.2229,4950.4179
"3050","Africa","Y1998",721966.3491,545006.5353,171959.3165,5000.4973,0,138876.4878,138694.3697,7.2616,174.8566,0,125966.1899,74216.6961,42256.1479,9493.3459,0,65121.5186,50168.3669,120.0164,9856.834,4976.3014,99325.5621,0,90183.9936,9141.5685,0,24718.472,0,NA,24718.472,0,644803.2528,0,334422.9694,310380.2834,0,1989243.256,1705998.334,226107.5092,57137.4132,0,-32093.1353,-32093.1353,0,0,0,986809.0269,757917.6012,214222.7259,14668.6997,0,1957150,1673905,226108,57137,0,2481991.1667,865057.2146,425903.2709,4976.3014
"3431","Africa","Y1999",709221.45,530513.2003,173783.9876,4924.2621,0,145628.5898,145422.3309,7.3157,198.9432,0,128648.0481,76419.4219,42545.7138,9682.9124,0,66050.7317,52022.7758,126.0923,8521.9388,5379.9247,102428.3021,0,93053.9527,9374.3494,0,22818.5066,0,NA,22818.5066,0,645219.4355,0,337214.3686,308005.0669,0,1907479.561,1650507.462,204963.3361,52008.7626,0,-32006.7179,-32006.7179,0,0,0,983498.088,752354.9532,216337.0171,14806.1177,0,1875473,1618501,204963,52009,0,2422878.473,851694.7668,415534.742,5379.9247
